"tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"Departamento","Palermo",1,1,40,135000
"Departamento","Palermo",1,1,35,125000
"Departamento","Palermo",1,1,46,149000
"Departamento","Palermo",1,1,38,128500
"Departamento","Palermo",1,1,39,105000
"Departamento","Barracas",1,1,98,220000
"Departamento","Barracas",1,1,83,225000
"Departamento","Barracas",1,1,108,250000
"Departamento","Belgrano",1,1,38,130000
"Departamento","Belgrano",1,1,46,143000
"Departamento","Belgrano",1,1,52,241500
"Departamento","Congreso",1,1,40,87000
"Departamento","Floresta",1,1,38,78000
"Departamento","Floresta",1,1,58,115000
"Departamento","Recoleta",1,1,60,203788
"Departamento","Recoleta",1,1,62,211011
"Departamento","Recoleta",1,1,54,194400
"Departamento","Recoleta",1,1,30,89000
"Departamento","Caballito",1,1,42,105000
"Departamento","Caballito",1,1,50,210000
"Departamento","Chacarita",1,1,34,90000
"Departamento","Mataderos",1,1,34,78000
"Departamento","San Telmo",1,1,38,95266
"Departamento","San Telmo",1,1,35,85178
"Departamento","San Telmo",1,1,34,93989
"Departamento","San Telmo",1,1,34,95832
"Departamento","San Telmo",1,1,34,88372
"Departamento","San Telmo",1,1,34,93374
"Departamento","San Telmo",1,1,34,83370
"Departamento","San Telmo",1,1,35,92479
"Departamento","San Telmo",1,1,35,87341
"Departamento","San Telmo",1,1,34,95832
"Departamento","San Telmo",1,1,35,98428
"Departamento","San Telmo",1,1,38,91602
"Departamento","San Telmo",1,1,38,98930
"Departamento","San Telmo",1,1,34,90040
"Departamento","San Telmo",1,1,35,90766
"Departamento","San Telmo",1,1,34,90040
"Departamento","San Telmo",1,1,34,91707
"Departamento","San Telmo",1,1,34,99518
"Departamento","San Telmo",1,1,34,99518
"Departamento","San Telmo",1,1,34,93374
"Departamento","San Telmo",1,1,34,88372
"Departamento","San Telmo",1,1,38,84274
"Departamento","San Telmo",1,1,35,94192
"Departamento","San Telmo",1,1,35,89054
"Departamento","San Telmo",1,1,34,101360
"Departamento","San Telmo",1,1,38,86106
"Departamento","San Telmo",1,1,38,89770
"Departamento","San Telmo",1,1,38,97098
"Departamento","San Telmo",1,1,35,102214
"Departamento","San Telmo",1,1,34,93989
"Departamento","San Telmo",1,1,38,100762
"Departamento","San Telmo",1,1,34,101360
"Departamento","San Telmo",1,1,35,94474
"Departamento","San Telmo",1,1,34,97675
"Departamento","San Telmo",1,1,35,85037
"Departamento","San Telmo",1,1,35,90857
"Departamento","San Telmo",1,1,34,92146
"Departamento","San Telmo",1,1,34,91707
"Departamento","San Telmo",1,1,34,86705
